Name,Description,Block
VE3_Dt,logarithmic coefficient sum of the last eigenvector (absolute values) from detour matrix,2D matrix-based descriptors
VE1sign_Dt,coefficient sum of the last eigenvector from detour matrix,2D matrix-based descriptors
VE2sign_Dt,average coefficient of the last eigenvector from detour matrix,2D matrix-based descriptors
VE3sign_Dt,logarithmic coefficient sum of the last eigenvector from detour matrix,2D matrix-based descriptors
VR1_Dt,Randic-like eigenvector-based index from detour matrix,2D matrix-based descriptors
VR2_Dt,normalized Randic-like eigenvector-based index from detour matrix,2D matrix-based descriptors
VR3_Dt,logarithmic Randic-like eigenvector-based index from detour matrix,2D matrix-based descriptors
Wi_D/Dt,Wiener-like index from distance/detour matrix,2D matrix-based descriptors
WiA_D/Dt,average Wiener-like index from distance/detour matrix,2D matrix-based descriptors
AVS_D/Dt,average vertex sum from distance/detour matrix,2D matrix-based descriptors
H_D/Dt,Harary-like index from distance/detour matrix,2D matrix-based descriptors
Chi_D/Dt,Randic-like index from distance/detour matrix,2D matrix-based descriptors
ChiA_D/Dt,average Randic-like index from distance/detour matrix,2D matrix-based descriptors
J_D/Dt,Balaban-like index from distance/detour matrix,2D matrix-based descriptors
HyWi_D/Dt,hyper-Wiener-like index (log function) from distance/detour matrix,2D matrix-based descriptors
SpPos_D/Dt,spectral positive sum from distance/detour matrix,2D matrix-based descriptors
SpPosA_D/Dt,normalized spectral positive sum from distance/detour matrix,2D matrix-based descriptors
SpPosLog_D/Dt,logarithmic spectral positive sum from distance/detour matrix,2D matrix-based descriptors
SpMax_D/Dt,leading eigenvalue from distance/detour matrix,2D matrix-based descriptors
SpMaxA_D/Dt,normalized leading eigenvalue from distance/detour matrix,2D matrix-based descriptors
SpDiam_D/Dt,spectral diameter from distance/detour matrix,2D matrix-based descriptors
SpAD_D/Dt,spectral absolute deviation from distance/detour matrix,2D matrix-based descriptors
SpMAD_D/Dt,spectral mean absolute deviation from distance/detour matrix,2D matrix-based descriptors
Ho_D/Dt,Hosoya-like index (log function) from distance/detour matrix,2D matrix-based descriptors
EE_D/Dt,Estrada-like index (log function) from distance/detour matrix,2D matrix-based descriptors
SM2_D/Dt,spectral moment of order 2 from distance/detour matrix,2D matrix-based descriptors
SM3_D/Dt,spectral moment of order 3 from distance/detour matrix,2D matrix-based descriptors
SM4_D/Dt,spectral moment of order 4 from distance/detour matrix,2D matrix-based descriptors
SM5_D/Dt,spectral moment of order 5 from distance/detour matrix,2D matrix-based descriptors
SM6_D/Dt,spectral moment of order 6 from distance/detour matrix,2D matrix-based descriptors
VE1_D/Dt,coefficient sum of the last eigenvector (absolute values) from distance/detour matrix,2D matrix-based descriptors
VE2_D/Dt,average coefficient of the last eigenvector (absolute values) from distance/detour matrix,2D matrix-based descriptors
VE3_D/Dt,logarithmic coefficient sum of the last eigenvector (absolute values) from distance/detour matrix,2D matrix-based descriptors
VE1sign_D/Dt,coefficient sum of the last eigenvector from distance/detour matrix,2D matrix-based descriptors
VE2sign_D/Dt,average coefficient of the last eigenvector from distance/detour matrix,2D matrix-based descriptors
VE3sign_D/Dt,logarithmic coefficient sum of the last eigenvector from distance/detour matrix,2D matrix-based descriptors
VR1_D/Dt,Randic-like eigenvector-based index from distance/detour matrix,2D matrix-based descriptors
VR2_D/Dt,normalized Randic-like eigenvector-based index from distance/detour matrix,2D matrix-based descriptors
VR3_D/Dt,logarithmic Randic-like eigenvector-based index from distance/detour matrix,2D matrix-based descriptors
Wi_Dz(Z),Wiener-like index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
WiA_Dz(Z),average Wiener-like index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
AVS_Dz(Z),average vertex sum from Barysz matrix weighted by atomic number,2D matrix-based descriptors
H_Dz(Z),Harary-like index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
Chi_Dz(Z),Randic-like index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
ChiA_Dz(Z),average Randic-like index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
J_Dz(Z),Balaban-like index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
HyWi_Dz(Z),hyper-Wiener-like index (log function) from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpAbs_Dz(Z),graph energy from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpPos_Dz(Z),spectral positive sum from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpPosA_Dz(Z),normalized spectral positive sum from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpPosLog_Dz(Z),logarithmic spectral positive sum from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpMax_Dz(Z),leading eigenvalue from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpMaxA_Dz(Z),normalized leading eigenvalue from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpDiam_Dz(Z),spectral diameter from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpAD_Dz(Z),spectral absolute deviation from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SpMAD_Dz(Z),spectral mean absolute deviation from Barysz matrix weighted by atomic number,2D matrix-based descriptors
Ho_Dz(Z),Hosoya-like index (log function) from Barysz matrix weighted by atomic number,2D matrix-based descriptors
EE_Dz(Z),Estrada-like index (log function) from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SM1_Dz(Z),spectral moment of order 1 from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SM2_Dz(Z),spectral moment of order 2 from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SM3_Dz(Z),spectral moment of order 3 from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SM4_Dz(Z),spectral moment of order 4 from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SM5_Dz(Z),spectral moment of order 5 from Barysz matrix weighted by atomic number,2D matrix-based descriptors
SM6_Dz(Z),spectral moment of order 6 from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VE1_Dz(Z),coefficient sum of the last eigenvector (absolute values) from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VE2_Dz(Z),average coefficient of the last eigenvector (absolute values) from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VE3_Dz(Z),logarithmic coefficient sum of the last eigenvector (absolute values) from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VE1sign_Dz(Z),coefficient sum of the last eigenvector from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VE2sign_Dz(Z),average coefficient of the last eigenvector from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VE3sign_Dz(Z),logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VR1_Dz(Z),Randic-like eigenvector-based index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VR2_Dz(Z),normalized Randic-like eigenvector-based index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
VR3_Dz(Z),logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by atomic number,2D matrix-based descriptors
Wi_Dz(m),Wiener-like index from Barysz matrix weighted by mass,2D matrix-based descriptors
WiA_Dz(m),average Wiener-like index from Barysz matrix weighted by mass,2D matrix-based descriptors
AVS_Dz(m),average vertex sum from Barysz matrix weighted by mass,2D matrix-based descriptors
H_Dz(m),Harary-like index from Barysz matrix weighted by mass,2D matrix-based descriptors
Chi_Dz(m),Randic-like index from Barysz matrix weighted by mass,2D matrix-based descriptors
ChiA_Dz(m),average Randic-like index from Barysz matrix weighted by mass,2D matrix-based descriptors
J_Dz(m),Balaban-like index from Barysz matrix weighted by mass,2D matrix-based descriptors
HyWi_Dz(m),hyper-Wiener-like index (log function) from Barysz matrix weighted by mass,2D matrix-based descriptors
SpAbs_Dz(m),graph energy from Barysz matrix weighted by mass,2D matrix-based descriptors
SpPos_Dz(m),spectral positive sum from Barysz matrix weighted by mass,2D matrix-based descriptors
SpPosA_Dz(m),normalized spectral positive sum from Barysz matrix weighted by mass,2D matrix-based descriptors
SpPosLog_Dz(m),logarithmic spectral positive sum from Barysz matrix weighted by mass,2D matrix-based descriptors
SpMax_Dz(m),leading eigenvalue from Barysz matrix weighted by mass,2D matrix-based descriptors
SpMaxA_Dz(m),normalized leading eigenvalue from Barysz matrix weighted by mass,2D matrix-based descriptors
SpDiam_Dz(m),spectral diameter from Barysz matrix weighted by mass,2D matrix-based descriptors
SpAD_Dz(m),spectral absolute deviation from Barysz matrix weighted by mass,2D matrix-based descriptors
SpMAD_Dz(m),spectral mean absolute deviation from Barysz matrix weighted by mass,2D matrix-based descriptors
Ho_Dz(m),Hosoya-like index (log function) from Barysz matrix weighted by mass,2D matrix-based descriptors
EE_Dz(m),Estrada-like index (log function) from Barysz matrix weighted by mass,2D matrix-based descriptors
SM1_Dz(m),spectral moment of order 1 from Barysz matrix weighted by mass,2D matrix-based descriptors
SM2_Dz(m),spectral moment of order 2 from Barysz matrix weighted by mass,2D matrix-based descriptors
SM3_Dz(m),spectral moment of order 3 from Barysz matrix weighted by mass,2D matrix-based descriptors
SM4_Dz(m),spectral moment of order 4 from Barysz matrix weighted by mass,2D matrix-based descriptors
SM5_Dz(m),spectral moment of order 5 from Barysz matrix weighted by mass,2D matrix-based descriptors
SM6_Dz(m),spectral moment of order 6 from Barysz matrix weighted by mass,2D matrix-based descriptors
VE1_Dz(m),coefficient sum of the last eigenvector (absolute values) from Barysz matrix weighted by mass,2D matrix-based descriptors
VE2_Dz(m),average coefficient of the last eigenvector (absolute values) from Barysz matrix weighted by mass,2D matrix-based descriptors
